Date,Load,Zone
1/1/2022 12:00:00 AM,1152.006,CAPITL
1/1/2022 12:00:00 AM,1530.7269,CENTRL
1/1/2022 12:00:00 AM,544.2096,DUNWOD
1/1/2022 12:00:00 AM,926.0489,GENESE
1/1/2022 12:00:00 AM,911.0326,HUD VL
1/1/2022 12:00:00 AM,1851.533,LONGIL
1/1/2022 12:00:00 AM,710.3388,MHK VL
1/1/2022 12:00:00 AM,242.7991,MILLWD
1/1/2022 12:00:00 AM,4551.6874,N.Y.C.
1/1/2022 12:00:00 AM,664.1859,NORTH
1/1/2022 12:00:00 AM,1422.5987,WEST
1/1/2022 1:00:00 AM,1107.9177,CAPITL
1/1/2022 1:00:00 AM,1481.2261,CENTRL
1/1/2022 1:00:00 AM,556.8122,DUNWOD
1/1/2022 1:00:00 AM,891.7911,GENESE
1/1/2022 1:00:00 AM,865.8803,HUD VL
1/1/2022 1:00:00 AM,1734.6093,LONGIL
1/1/2022 1:00:00 AM,689.7622,MHK VL
1/1/2022 1:00:00 AM,227.7748,MILLWD
1/1/2022 1:00:00 AM,4341.7987,N.Y.C.
1/1/2022 1:00:00 AM,660.6178,NORTH
1/1/2022 1:00:00 AM,1373.3295,WEST
1/1/2022 2:00:00 AM,1079.0995,CAPITL
1/1/2022 2:00:00 AM,1447.4818,CENTRL
1/1/2022 2:00:00 AM,536.215,DUNWOD
1/1/2022 2:00:00 AM,867.9152,GENESE
1/1/2022 2:00:00 AM,832.1781,HUD VL
1/1/2022 2:00:00 AM,1651.0474,LONGIL
1/1/2022 2:00:00 AM,664.859,MHK VL
1/1/2022 2:00:00 AM,217.2236,MILLWD
1/1/2022 2:00:00 AM,4193.6776,N.Y.C.
1/1/2022 2:00:00 AM,655.748,NORTH
1/1/2022 2:00:00 AM,1336.3791,WEST
1/1/2022 3:00:00 AM,1059.8034,CAPITL
1/1/2022 3:00:00 AM,1428.2501,CENTRL
1/1/2022 3:00:00 AM,522.774,DUNWOD
1/1/2022 3:00:00 AM,854.7734,GENESE
1/1/2022 3:00:00 AM,815.8014,HUD VL
1/1/2022 3:00:00 AM,1597.0706,LONGIL
1/1/2022 3:00:00 AM,659.5616,MHK VL
1/1/2022 3:00:00 AM,210.8975,MILLWD
1/1/2022 3:00:00 AM,4087.6516,N.Y.C.
1/1/2022 3:00:00 AM,652.1813,NORTH
1/1/2022 3:00:00 AM,1317.037,WEST
1/1/2022 4:00:00 AM,1064.4894,CAPITL
1/1/2022 4:00:00 AM,1423.0809,CENTRL
1/1/2022 4:00:00 AM,529.6764,DUNWOD
1/1/2022 4:00:00 AM,848.609,GENESE
1/1/2022 4:00:00 AM,811.3358,HUD VL
1/1/2022 4:00:00 AM,1575.7818,LONGIL
1/1/2022 4:00:00 AM,656.204,MHK VL
1/1/2022 4:00:00 AM,206.4657,MILLWD
1/1/2022 4:00:00 AM,4016.1398,N.Y.C.
1/1/2022 4:00:00 AM,654.2265,NORTH
1/1/2022 4:00:00 AM,1307.4619,WEST
1/1/2022 5:00:00 AM,1082.997,CAPITL
1/1/2022 5:00:00 AM,1435.3406,CENTRL
