,predict_1,predict_2,predict_3,predict_4,predict_5,predict_6,predict_7,predict_8,predict_9,predict_10,predict_11,predict_12
2021-01-01 00:00:00,1.5471800908061937,1.4208714617974207,1.1564652175003,1.240130487775696,1.5551269384351327,1.167641935444834,1.527543310210861,1.3883723000962802,1.223599109150883,1.2830108481085971,1.7299060723963129,1.4901084861697222
2021-01-01 01:00:00,1.4208714617974207,1.1564652175003,1.240130487775696,1.5551269384351327,1.167641935444834,1.527543310210861,1.3883723000962802,1.223599109150883,1.2830108481085971,1.7299060723963129,1.4901084861697222,1.6662601999640163
2021-01-01 02:00:00,1.1564652175003,1.240130487775696,1.5551269384351327,1.167641935444834,1.527543310210861,1.3883723000962802,1.223599109150883,1.2830108481085971,1.7299060723963129,1.4901084861697222,1.6662601999640163,1.358409715178568
2021-01-01 03:00:00,1.240130487775696,1.5551269384351327,1.167641935444834,1.527543310210861,1.3883723000962802,1.223599109150883,1.2830108481085971,1.7299060723963129,1.4901084861697222,1.6662601999640163,1.358409715178568,1.7485288505967749
2021-01-01 04:00:00,1.5551269384351327,1.167641935444834,1.527543310210861,1.3883723000962802,1.223599109150883,1.2830108481085971,1.7299060723963129,1.4901084861697222,1.6662601999640163,1.358409715178568,1.7485288505967749,1.7750232864526383
2021-01-01 05:00:00,1.167641935444834,1.527543310210861,1.3883723000962802,1.223599109150883,1.2830108481085971,1.7299060723963129,1.4901084861697222,1.6662601999640163,1.358409715178568,1.7485288505967749,1.7750232864526383,2.0497061245574004
2021-01-01 06:00:00,1.527543310210861,1.3883723000962802,1.223599109150883,1.2830108481085971,1.7299060723963129,1.4901084861697222,1.6662601999640163,1.358409715178568,1.7485288505967749,1.7750232864526383,2.0497061245574004,1.4630967920844529
2021-01-01 07:00:00,1.3883723000962802,1.223599109150883,1.2830108481085971,1.7299060723963129,1.4901084861697222,1.6662601999640163,1.358409715178568,1.7485288505967749,1.7750232864526383,2.0497061245574004,1.4630967920844529,1.5303700828678868
2021-01-01 08:00:00,1.223599109150883,1.2830108481085971,1.7299060723963129,1.4901084861697222,1.6662601999640163,1.358409715178568,1.7485288505967749,1.7750232864526383,2.0497061245574004,1.4630967920844529,1.5303700828678868,1.9726706726717984
2021-01-01 09:00:00,1.2830108481085971,1.7299060723963129,1.4901084861697222,1.6662601999640163,1.358409715178568,1.7485288505967749,1.7750232864526383,2.0497061245574004,1.4630967920844529,1.5303700828678868,1.9726706726717984,1.4602944234691204
2021-01-01 10:00:00,1.7299060723963129,1.4901084861697222,1.6662601999640163,1.358409715178568,1.7485288505967749,1.7750232864526383,2.0497061245574004,1.4630967920844529,1.5303700828678868,1.9726706726717984,1.4602944234691204,1.2622977599524408
2021-01-01 11:00:00,1.4901084861697222,1.6662601999640163,1.358409715178568,1.7485288505967749,1.7750232864526383,2.0497061245574004,1.4630967920844529,1.5303700828678868,1.9726706726717984,1.4602944234691204,1.2622977599524408,1.2151173132265394
2021-01-01 12:00:00,1.6662601999640163,1.358409715178568,1.7485288505967749,1.7750232864526383,2.0497061245574004,1.4630967920844529,1.5303700828678868,1.9726706726717984,1.4602944234691204,1.2622977599524408,1.2151173132265394,1.2403439912747012
2021-01-01 13:00:00,1.358409715178568,1.7485288505967749,1.7750232864526383,2.0497061245574004,1.4630967920844529,1.5303700828678868,1.9726706726717984,1.4602944234691204,1.2622977599524408,1.2151173132265394,1.2403439912747012,1.4690269618084064
2021-01-01 14:00:00,1.7485288505967749,1.7750232864526383,2.0497061245574004,1.4630967920844529,1.5303700828678868,1.9726706726717984,1.4602944234691204,1.2622977599524408,1.2151173132265394,1.2403439912747012,1.4690269618084064,1.5066173953688515
2021-01-01 15:00:00,1.7750232864526383,2.0497061245574004,1.4630967920844529,1.5303700828678868,1.9726706726717984,1.4602944234691204,1.2622977599524408,1.2151173132265394,1.2403439912747012,1.4690269618084064,1.5066173953688515,1.243121103301744
2021-01-01 16:00:00,2.0497061245574004,1.4630967920844529,1.5303700828678868,1.9726706726717984,1.4602944234691204,1.2622977599524408,1.2151173132265394,1.2403439912747012,1.4690269618084064,1.5066173953688515,1.243121103301744,1.465955188279045
2021-01-01 17:00:00,1.4630967920844529,1.5303700828678868,1.9726706726717984,1.4602944234691204,1.2622977599524408,1.2151173132265394,1.2403439912747012,1.4690269618084064,1.5066173953688515,1.243121103301744,1.465955188279045,1.1570814305212926
2021-01-01 18:00:00,1.5303700828678868,1.9726706726717984,1.4602944234691204,1.2622977599524408,1.2151173132265394,1.2403439912747012,1.4690269618084064,1.5066173953688515,1.243121103301744,1.465955188279045,1.1570814305212926,1.3316187583518493
2021-01-01 19:00:00,1.9726706726717984,1.4602944234691204,1.2622977599524408,1.2151173132265394,1.2403439912747012,1.4690269618084064,1.5066173953688515,1.243121103301744,1.465955188279045,1.1570814305212926,1.3316187583518493,1.1942913192618096
2021-01-01 20:00:00,1.4602944234691204,1.2622977599524408,1.2151173132265394,1.2403439912747012,1.4690269618084064,1.5066173953688515,1.243121103301744,1.465955188279045,1.1570814305212926,1.3316187583518493,1.1942913192618096,1.5174323911981125
2021-01-01 21:00:00,1.2622977599524408,1.2151173132265394,1.2403439912747012,1.4690269618084064,1.5066173953688515,1.243121103301744,1.465955188279045,1.1570814305212926,1.3316187583518493,1.1942913192618096,1.5174323911981125,1.2428857071720532
2021-01-01 22:00:00,1.2151173132265394,1.2403439912747012,1.4690269618084064,1.5066173953688515,1.243121103301744,1.465955188279045,1.1570814305212926,1.3316187583518493,1.1942913192618096,1.5174323911981125,1.2428857071720532,1.2122096670616695
2021-01-01 23:00:00,1.2403439912747012,1.4690269618084064,1.5066173953688515,1.243121103301744,1.465955188279045,1.1570814305212926,1.3316187583518493,1.1942913192618096,1.5174323911981125,1.2428857071720532,1.2122096670616695,1.292537055297128
2021-01-02 00:00:00,1.4690269618084064,1.5066173953688515,1.243121103301744,1.465955188279045,1.1570814305212926,1.3316187583518493,1.1942913192618096,1.5174323911981125,1.2428857071720532,1.2122096670616695,1.292537055297128,1.5303353191704878
2021-01-02 01:00:00,1.5066173953688515,1.243121103301744,1.465955188279045,1.1570814305212926,1.3316187583518493,1.1942913192618096,1.5174323911981125,1.2428857071720532,1.2122096670616695,1.292537055297128,1.5303353191704878,1.5505880148800333
2021-01-02 02:00:00,1.243121103301744,1.465955188279045,1.1570814305212926,1.3316187583518493,1.1942913192618096,1.5174323911981125,1.2428857071720532,1.2122096670616695,1.292537055297128,1.5303353191704878,1.5505880148800333,1.66116968369522
2021-01-02 03:00:00,1.465955188279045,1.1570814305212926,1.3316187583518493,1.1942913192618096,1.5174323911981125,1.2428857071720532,1.2122096670616695,1.292537055297128,1.5303353191704878,1.5505880148800333,1.66116968369522,1.6596001170988368
2021-01-02 04:00:00,1.1570814305212926,1.3316187583518493,1.1942913192618096,1.5174323911981125,1.2428857071720532,1.2122096670616695,1.292537055297128,1.5303353191704878,1.5505880148800333,1.66116968369522,1.6596001170988368,1.3114842545401388
2021-01-02 05:00:00,1.3316187583518493,1.1942913192618096,1.5174323911981125,1.2428857071720532,1.2122096670616695,1.292537055297128,1.5303353191704878,1.5505880148800333,1.66116968369522,1.6596001170988368,1.3114842545401388,1.4258510272098406
2021-01-02 06:00:00,1.1942913192618096,1.5174323911981125,1.2428857071720532,1.2122096670616695,1.292537055297128,1.5303353191704878,1.5505880148800333,1.66116968369522,1.6596001170988368,1.3114842545401388,1.4258510272098406,1.623361756768881
2021-01-02 07:00:00,1.5174323911981125,1.2428857071720532,1.2122096670616695,1.292537055297128,1.5303353191704878,1.5505880148800333,1.66116968369522,1.6596001170988368,1.3114842545401388,1.4258510272098406,1.623361756768881,1.4160225768936816
2021-01-02 08:00:00,1.2428857071720532,1.2122096670616695,1.292537055297128,1.5303353191704878,1.5505880148800333,1.66116968369522,1.6596001170988368,1.3114842545401388,1.4258510272098406,1.623361756768881,1.4160225768936816,1.3371260659605235
2021-01-02 09:00:00,1.2122096670616695,1.292537055297128,1.5303353191704878,1.5505880148800333,1.66116968369522,1.6596001170988368,1.3114842545401388,1.4258510272098406,1.623361756768881,1.4160225768936816,1.3371260659605235,1.56776266176065
2021-01-02 10:00:00,1.292537055297128,1.5303353191704878,1.5505880148800333,1.66116968369522,1.6596001170988368,1.3114842545401388,1.4258510272098406,1.623361756768881,1.4160225768936816,1.3371260659605235,1.56776266176065,1.429045147638134
2021-01-02 11:00:00,1.5303353191704878,1.5505880148800333,1.66116968369522,1.6596001170988368,1.3114842545401388,1.4258510272098406,1.623361756768881,1.4160225768936816,1.3371260659605235,1.56776266176065,1.429045147638134,1.4162642934728795
2021-01-02 12:00:00,1.5505880148800333,1.66116968369522,1.6596001170988368,1.3114842545401388,1.4258510272098406,1.623361756768881,1.4160225768936816,1.3371260659605235,1.56776266176065,1.429045147638134,1.4162642934728795,1.548387160544918
2021-01-02 13:00:00,1.66116968369522,1.6596001170988368,1.3114842545401388,1.4258510272098406,1.623361756768881,1.4160225768936816,1.3371260659605235,1.56776266176065,1.429045147638134,1.4162642934728795,1.548387160544918,1.4561141991825697
2021-01-02 14:00:00,1.6596001170988368,1.3114842545401388,1.4258510272098406,1.623361756768881,1.4160225768936816,1.3371260659605235,1.56776266176065,1.429045147638134,1.4162642934728795,1.548387160544918,1.4561141991825697,1.2998760369391062
2021-01-02 15:00:00,1.3114842545401388,1.4258510272098406,1.623361756768881,1.4160225768936816,1.3371260659605235,1.56776266176065,1.429045147638134,1.4162642934728795,1.548387160544918,1.4561141991825697,1.2998760369391062,1.106152824483858
2021-01-02 16:00:00,1.4258510272098406,1.623361756768881,1.4160225768936816,1.3371260659605235,1.56776266176065,1.429045147638134,1.4162642934728795,1.548387160544918,1.4561141991825697,1.2998760369391062,1.106152824483858,1.4072219443579226
2021-01-02 17:00:00,1.623361756768881,1.4160225768936816,1.3371260659605235,1.56776266176065,1.429045147638134,1.4162642934728795,1.548387160544918,1.4561141991825697,1.2998760369391062,1.106152824483858,1.4072219443579226,1.0697287280392322
2021-01-02 18:00:00,1.4160225768936816,1.3371260659605235,1.56776266176065,1.429045147638134,1.4162642934728795,1.548387160544918,1.4561141991825697,1.2998760369391062,1.106152824483858,1.4072219443579226,1.0697287280392322,1.1275840674571227
2021-01-02 19:00:00,1.3371260659605235,1.56776266176065,1.429045147638134,1.4162642934728795,1.548387160544918,1.4561141991825697,1.2998760369391062,1.106152824483858,1.4072219443579226,1.0697287280392322,1.1275840674571227,1.438242929621921
2021-01-02 20:00:00,1.56776266176065,1.429045147638134,1.4162642934728795,1.548387160544918,1.4561141991825697,1.2998760369391062,1.106152824483858,1.4072219443579226,1.0697287280392322,1.1275840674571227,1.438242929621921,1.2167933419249792
2021-01-02 21:00:00,1.429045147638134,1.4162642934728795,1.548387160544918,1.4561141991825697,1.2998760369391062,1.106152824483858,1.4072219443579226,1.0697287280392322,1.1275840674571227,1.438242929621921,1.2167933419249792,1.361613454985568
2021-01-02 22:00:00,1.4162642934728795,1.548387160544918,1.4561141991825697,1.2998760369391062,1.106152824483858,1.4072219443579226,1.0697287280392322,1.1275840674571227,1.438242929621921,1.2167933419249792,1.361613454985568,1.6080924091456563
2021-01-02 23:00:00,1.548387160544918,1.4561141991825697,1.2998760369391062,1.106152824483858,1.4072219443579226,1.0697287280392322,1.1275840674571227,1.438242929621921,1.2167933419249792,1.361613454985568,1.6080924091456563,1.3615173331432622
2021-01-03 00:00:00,1.4561141991825697,1.2998760369391062,1.106152824483858,1.4072219443579226,1.0697287280392322,1.1275840674571227,1.438242929621921,1.2167933419249792,1.361613454985568,1.6080924091456563,1.3615173331432622,1.9018827606684243
2021-01-03 01:00:00,1.2998760369391062,1.106152824483858,1.4072219443579226,1.0697287280392322,1.1275840674571227,1.438242929621921,1.2167933419249792,1.361613454985568,1.6080924091456563,1.3615173331432622,1.9018827606684243,1.9601142769675304
2021-01-03 02:00:00,1.106152824483858,1.4072219443579226,1.0697287280392322,1.1275840674571227,1.438242929621921,1.2167933419249792,1.361613454985568,1.6080924091456563,1.3615173331432622,1.9018827606684243,1.9601142769675304,1.7069086819143882
2021-01-03 03:00:00,1.4072219443579226,1.0697287280392322,1.1275840674571227,1.438242929621921,1.2167933419249792,1.361613454985568,1.6080924091456563,1.3615173331432622,1.9018827606684243,1.9601142769675304,1.7069086819143882,1.6493836625768712
2021-01-03 04:00:00,1.0697287280392322,1.1275840674571227,1.438242929621921,1.2167933419249792,1.361613454985568,1.6080924091456563,1.3615173331432622,1.9018827606684243,1.9601142769675304,1.7069086819143882,1.6493836625768712,1.916048978097588
2021-01-03 05:00:00,1.1275840674571227,1.438242929621921,1.2167933419249792,1.361613454985568,1.6080924091456563,1.3615173331432622,1.9018827606684243,1.9601142769675304,1.7069086819143882,1.6493836625768712,1.916048978097588,1.786328455028028
2021-01-03 06:00:00,1.438242929621921,1.2167933419249792,1.361613454985568,1.6080924091456563,1.3615173331432622,1.9018827606684243,1.9601142769675304,1.7069086819143882,1.6493836625768712,1.916048978097588,1.786328455028028,1.6253500177739575
2021-01-03 07:00:00,1.2167933419249792,1.361613454985568,1.6080924091456563,1.3615173331432622,1.9018827606684243,1.9601142769675304,1.7069086819143882,1.6493836625768712,1.916048978097588,1.786328455028028,1.6253500177739575,1.5200288739420864
2021-01-03 08:00:00,1.361613454985568,1.6080924091456563,1.3615173331432622,1.9018827606684243,1.9601142769675304,1.7069086819143882,1.6493836625768712,1.916048978097588,1.786328455028028,1.6253500177739575,1.5200288739420864,1.6112878811213345
2021-01-03 09:00:00,1.6080924091456563,1.3615173331432622,1.9018827606684243,1.9601142769675304,1.7069086819143882,1.6493836625768712,1.916048978097588,1.786328455028028,1.6253500177739575,1.5200288739420864,1.6112878811213345,1.77313974392581
2021-01-03 10:00:00,1.3615173331432622,1.9018827606684243,1.9601142769675304,1.7069086819143882,1.6493836625768712,1.916048978097588,1.786328455028028,1.6253500177739575,1.5200288739420864,1.6112878811213345,1.77313974392581,1.8410998439974
2021-01-03 11:00:00,1.9018827606684243,1.9601142769675304,1.7069086819143882,1.6493836625768712,1.916048978097588,1.786328455028028,1.6253500177739575,1.5200288739420864,1.6112878811213345,1.77313974392581,1.8410998439974,1.366583708566505
2021-01-03 12:00:00,1.9601142769675304,1.7069086819143882,1.6493836625768712,1.916048978097588,1.786328455028028,1.6253500177739575,1.5200288739420864,1.6112878811213345,1.77313974392581,1.8410998439974,1.366583708566505,1.5941377121887803
2021-01-03 13:00:00,1.7069086819143882,1.6493836625768712,1.916048978097588,1.786328455028028,1.6253500177739575,1.5200288739420864,1.6112878811213345,1.77313974392581,1.8410998439974,1.366583708566505,1.5941377121887803,1.3610073665133382
2021-01-03 14:00:00,1.6493836625768712,1.916048978097588,1.786328455028028,1.6253500177739575,1.5200288739420864,1.6112878811213345,1.77313974392581,1.8410998439974,1.366583708566505,1.5941377121887803,1.3610073665133382,1.0923609397561365
2021-01-03 15:00:00,1.916048978097588,1.786328455028028,1.6253500177739575,1.5200288739420864,1.6112878811213345,1.77313974392581,1.8410998439974,1.366583708566505,1.5941377121887803,1.3610073665133382,1.0923609397561365,1.0773014864277033
2021-01-03 16:00:00,1.786328455028028,1.6253500177739575,1.5200288739420864,1.6112878811213345,1.77313974392581,1.8410998439974,1.366583708566505,1.5941377121887803,1.3610073665133382,1.0923609397561365,1.0773014864277033,1.4370261310115726
2021-01-03 17:00:00,1.6253500177739575,1.5200288739420864,1.6112878811213345,1.77313974392581,1.8410998439974,1.366583708566505,1.5941377121887803,1.3610073665133382,1.0923609397561365,1.0773014864277033,1.4370261310115726,1.5914844414590537
2021-01-03 18:00:00,1.5200288739420864,1.6112878811213345,1.77313974392581,1.8410998439974,1.366583708566505,1.5941377121887803,1.3610073665133382,1.0923609397561365,1.0773014864277033,1.4370261310115726,1.5914844414590537,1.6378186483183672
2021-01-03 19:00:00,1.6112878811213345,1.77313974392581,1.8410998439974,1.366583708566505,1.5941377121887803,1.3610073665133382,1.0923609397561365,1.0773014864277033,1.4370261310115726,1.5914844414590537,1.6378186483183672,1.3555203862858456
2021-01-03 20:00:00,1.77313974392581,1.8410998439974,1.366583708566505,1.5941377121887803,1.3610073665133382,1.0923609397561365,1.0773014864277033,1.4370261310115726,1.5914844414590537,1.6378186483183672,1.3555203862858456,1.385740689048806
2021-01-03 21:00:00,1.8410998439974,1.366583708566505,1.5941377121887803,1.3610073665133382,1.0923609397561365,1.0773014864277033,1.4370261310115726,1.5914844414590537,1.6378186483183672,1.3555203862858456,1.385740689048806,1.9187732567535136
2021-01-03 22:00:00,1.366583708566505,1.5941377121887803,1.3610073665133382,1.0923609397561365,1.0773014864277033,1.4370261310115726,1.5914844414590537,1.6378186483183672,1.3555203862858456,1.385740689048806,1.9187732567535136,1.7573822841179352
2021-01-03 23:00:00,1.5941377121887803,1.3610073665133382,1.0923609397561365,1.0773014864277033,1.4370261310115726,1.5914844414590537,1.6378186483183672,1.3555203862858456,1.385740689048806,1.9187732567535136,1.7573822841179352,1.8040429861716016
2021-01-04 00:00:00,1.3610073665133382,1.0923609397561365,1.0773014864277033,1.4370261310115726,1.5914844414590537,1.6378186483183672,1.3555203862858456,1.385740689048806,1.9187732567535136,1.7573822841179352,1.8040429861716016,1.8606555339992488
2021-01-04 01:00:00,1.0923609397561365,1.0773014864277033,1.4370261310115726,1.5914844414590537,1.6378186483183672,1.3555203862858456,1.385740689048806,1.9187732567535136,1.7573822841179352,1.8040429861716016,1.8606555339992488,1.7943552225216484
2021-01-04 02:00:00,1.0773014864277033,1.4370261310115726,1.5914844414590537,1.6378186483183672,1.3555203862858456,1.385740689048806,1.9187732567535136,1.7573822841179352,1.8040429861716016,1.8606555339992488,1.7943552225216484,1.5853810746273622
2021-01-04 03:00:00,1.4370261310115726,1.5914844414590537,1.6378186483183672,1.3555203862858456,1.385740689048806,1.9187732567535136,1.7573822841179352,1.8040429861716016,1.8606555339992488,1.7943552225216484,1.5853810746273622,1.5168766382114804
2021-01-04 04:00:00,1.5914844414590537,1.6378186483183672,1.3555203862858456,1.385740689048806,1.9187732567535136,1.7573822841179352,1.8040429861716016,1.8606555339992488,1.7943552225216484,1.5853810746273622,1.5168766382114804,2.1499892734368
2021-01-04 05:00:00,1.6378186483183672,1.3555203862858456,1.385740689048806,1.9187732567535136,1.7573822841179352,1.8040429861716016,1.8606555339992488,1.7943552225216484,1.5853810746273622,1.5168766382114804,2.1499892734368,1.6000426927646572
2021-01-04 06:00:00,1.3555203862858456,1.385740689048806,1.9187732567535136,1.7573822841179352,1.8040429861716016,1.8606555339992488,1.7943552225216484,1.5853810746273622,1.5168766382114804,2.1499892734368,1.6000426927646572,1.6772104877783234
2021-01-04 07:00:00,1.385740689048806,1.9187732567535136,1.7573822841179352,1.8040429861716016,1.8606555339992488,1.7943552225216484,1.5853810746273622,1.5168766382114804,2.1499892734368,1.6000426927646572,1.6772104877783234,1.788374047210478
2021-01-04 08:00:00,1.9187732567535136,1.7573822841179352,1.8040429861716016,1.8606555339992488,1.7943552225216484,1.5853810746273622,1.5168766382114804,2.1499892734368,1.6000426927646572,1.6772104877783234,1.788374047210478,1.6205066112218829
2021-01-04 09:00:00,1.7573822841179352,1.8040429861716016,1.8606555339992488,1.7943552225216484,1.5853810746273622,1.5168766382114804,2.1499892734368,1.6000426927646572,1.6772104877783234,1.788374047210478,1.6205066112218829,1.3936687038141915
2021-01-04 10:00:00,1.8040429861716016,1.8606555339992488,1.7943552225216484,1.5853810746273622,1.5168766382114804,2.1499892734368,1.6000426927646572,1.6772104877783234,1.788374047210478,1.6205066112218829,1.3936687038141915,1.3376841434911886
2021-01-04 11:00:00,1.8606555339992488,1.7943552225216484,1.5853810746273622,1.5168766382114804,2.1499892734368,1.6000426927646572,1.6772104877783234,1.788374047210478,1.6205066112218829,1.3936687038141915,1.3376841434911886,1.4785785690552644
2021-01-04 12:00:00,1.7943552225216484,1.5853810746273622,1.5168766382114804,2.1499892734368,1.6000426927646572,1.6772104877783234,1.788374047210478,1.6205066112218829,1.3936687038141915,1.3376841434911886,1.4785785690552644,1.2684215760102746
2021-01-04 13:00:00,1.5853810746273622,1.5168766382114804,2.1499892734368,1.6000426927646572,1.6772104877783234,1.788374047210478,1.6205066112218829,1.3936687038141915,1.3376841434911886,1.4785785690552644,1.2684215760102746,1.250548871170546
2021-01-04 14:00:00,1.5168766382114804,2.1499892734368,1.6000426927646572,1.6772104877783234,1.788374047210478,1.6205066112218829,1.3936687038141915,1.3376841434911886,1.4785785690552644,1.2684215760102746,1.250548871170546,1.230271831162164
2021-01-04 15:00:00,2.1499892734368,1.6000426927646572,1.6772104877783234,1.788374047210478,1.6205066112218829,1.3936687038141915,1.3376841434911886,1.4785785690552644,1.2684215760102746,1.250548871170546,1.230271831162164,1.4303527900128736
2021-01-04 16:00:00,1.6000426927646572,1.6772104877783234,1.788374047210478,1.6205066112218829,1.3936687038141915,1.3376841434911886,1.4785785690552644,1.2684215760102746,1.250548871170546,1.230271831162164,1.4303527900128736,1.4247110001530647
2021-01-04 17:00:00,1.6772104877783234,1.788374047210478,1.6205066112218829,1.3936687038141915,1.3376841434911886,1.4785785690552644,1.2684215760102746,1.250548871170546,1.230271831162164,1.4303527900128736,1.4247110001530647,1.5177194191215804
2021-01-04 18:00:00,1.788374047210478,1.6205066112218829,1.3936687038141915,1.3376841434911886,1.4785785690552644,1.2684215760102746,1.250548871170546,1.230271831162164,1.4303527900128736,1.4247110001530647,1.5177194191215804,1.449267184619703
2021-01-04 19:00:00,1.6205066112218829,1.3936687038141915,1.3376841434911886,1.4785785690552644,1.2684215760102746,1.250548871170546,1.230271831162164,1.4303527900128736,1.4247110001530647,1.5177194191215804,1.449267184619703,1.6721704074637551
