,predict_1,predict_2,predict_3,predict_4,predict_5,predict_6,predict_7,predict_8,predict_9,predict_10,predict_11,predict_12
2021-01-01 10:00:00,-0.2623762919296643,-0.1875215045263236,-0.2213883147829209,-0.3268804330254604,-0.3513345766478528,-0.4693826056487813,-0.5595328081209816,-0.4640627451130851,-0.7207943685786514,-0.3664790874675899,-0.530378788234323,-0.372063384754729
2021-01-01 11:00:00,-0.1875215045263236,-0.2213883147829209,-0.3268804330254604,-0.3513345766478528,-0.4693826056487813,-0.5595328081209816,-0.4640627451130851,-0.7207943685786514,-0.3664790874675899,-0.530378788234323,-0.372063384754729,-0.6684014509674641
2021-01-01 12:00:00,-0.2213883147829209,-0.3268804330254604,-0.3513345766478528,-0.4693826056487813,-0.5595328081209816,-0.4640627451130851,-0.7207943685786514,-0.3664790874675899,-0.530378788234323,-0.372063384754729,-0.6684014509674641,-0.5218146910389998
2021-01-01 13:00:00,-0.3268804330254604,-0.3513345766478528,-0.4693826056487813,-0.5595328081209816,-0.4640627451130851,-0.7207943685786514,-0.3664790874675899,-0.530378788234323,-0.372063384754729,-0.6684014509674641,-0.5218146910389998,-0.3919441096164033
2021-01-01 14:00:00,-0.3513345766478528,-0.4693826056487813,-0.5595328081209816,-0.4640627451130851,-0.7207943685786514,-0.3664790874675899,-0.530378788234323,-0.372063384754729,-0.6684014509674641,-0.5218146910389998,-0.3919441096164033,-0.46046645185664
2021-01-01 15:00:00,-0.4693826056487813,-0.5595328081209816,-0.4640627451130851,-0.7207943685786514,-0.3664790874675899,-0.530378788234323,-0.372063384754729,-0.6684014509674641,-0.5218146910389998,-0.3919441096164033,-0.46046645185664,-0.2456843545435717
2021-01-01 16:00:00,-0.5595328081209816,-0.4640627451130851,-0.7207943685786514,-0.3664790874675899,-0.530378788234323,-0.372063384754729,-0.6684014509674641,-0.5218146910389998,-0.3919441096164033,-0.46046645185664,-0.2456843545435717,-0.4585512893024344
2021-01-01 17:00:00,-0.4640627451130851,-0.7207943685786514,-0.3664790874675899,-0.530378788234323,-0.372063384754729,-0.6684014509674641,-0.5218146910389998,-0.3919441096164033,-0.46046645185664,-0.2456843545435717,-0.4585512893024344,-0.4958350052190078
2021-01-01 18:00:00,-0.7207943685786514,-0.3664790874675899,-0.530378788234323,-0.372063384754729,-0.6684014509674641,-0.5218146910389998,-0.3919441096164033,-0.46046645185664,-0.2456843545435717,-0.4585512893024344,-0.4958350052190078,-0.5116912388286657
2021-01-01 19:00:00,-0.3664790874675899,-0.530378788234323,-0.372063384754729,-0.6684014509674641,-0.5218146910389998,-0.3919441096164033,-0.46046645185664,-0.2456843545435717,-0.4585512893024344,-0.4958350052190078,-0.5116912388286657,-0.3498517627838499
2021-01-01 20:00:00,-0.530378788234323,-0.372063384754729,-0.6684014509674641,-0.5218146910389998,-0.3919441096164033,-0.46046645185664,-0.2456843545435717,-0.4585512893024344,-0.4958350052190078,-0.5116912388286657,-0.3498517627838499,-0.3704680892559092
2021-01-01 21:00:00,-0.372063384754729,-0.6684014509674641,-0.5218146910389998,-0.3919441096164033,-0.46046645185664,-0.2456843545435717,-0.4585512893024344,-0.4958350052190078,-0.5116912388286657,-0.3498517627838499,-0.3704680892559092,-0.3148069916507227
2021-01-01 22:00:00,-0.6684014509674641,-0.5218146910389998,-0.3919441096164033,-0.46046645185664,-0.2456843545435717,-0.4585512893024344,-0.4958350052190078,-0.5116912388286657,-0.3498517627838499,-0.3704680892559092,-0.3148069916507227,-0.3340718510510431
2021-01-01 23:00:00,-0.5218146910389998,-0.3919441096164033,-0.46046645185664,-0.2456843545435717,-0.4585512893024344,-0.4958350052190078,-0.5116912388286657,-0.3498517627838499,-0.3704680892559092,-0.3148069916507227,-0.3340718510510431,-0.3381111927670216
2021-01-02 00:00:00,-0.3919441096164033,-0.46046645185664,-0.2456843545435717,-0.4585512893024344,-0.4958350052190078,-0.5116912388286657,-0.3498517627838499,-0.3704680892559092,-0.3148069916507227,-0.3340718510510431,-0.3381111927670216,-0.45052660980294
2021-01-02 01:00:00,-0.46046645185664,-0.2456843545435717,-0.4585512893024344,-0.4958350052190078,-0.5116912388286657,-0.3498517627838499,-0.3704680892559092,-0.3148069916507227,-0.3340718510510431,-0.3381111927670216,-0.45052660980294,-0.3818730971917712
2021-01-02 02:00:00,-0.2456843545435717,-0.4585512893024344,-0.4958350052190078,-0.5116912388286657,-0.3498517627838499,-0.3704680892559092,-0.3148069916507227,-0.3340718510510431,-0.3381111927670216,-0.45052660980294,-0.3818730971917712,-0.3569350924136964
2021-01-02 03:00:00,-0.4585512893024344,-0.4958350052190078,-0.5116912388286657,-0.3498517627838499,-0.3704680892559092,-0.3148069916507227,-0.3340718510510431,-0.3381111927670216,-0.45052660980294,-0.3818730971917712,-0.3569350924136964,-0.3421228223248871
2021-01-02 04:00:00,-0.4958350052190078,-0.5116912388286657,-0.3498517627838499,-0.3704680892559092,-0.3148069916507227,-0.3340718510510431,-0.3381111927670216,-0.45052660980294,-0.3818730971917712,-0.3569350924136964,-0.3421228223248871,-0.4026254204852616
2021-01-02 05:00:00,-0.5116912388286657,-0.3498517627838499,-0.3704680892559092,-0.3148069916507227,-0.3340718510510431,-0.3381111927670216,-0.45052660980294,-0.3818730971917712,-0.3569350924136964,-0.3421228223248871,-0.4026254204852616,-0.4206119501546264
2021-01-02 06:00:00,-0.3498517627838499,-0.3704680892559092,-0.3148069916507227,-0.3340718510510431,-0.3381111927670216,-0.45052660980294,-0.3818730971917712,-0.3569350924136964,-0.3421228223248871,-0.4026254204852616,-0.4206119501546264,-0.7691043956157309
2021-01-02 07:00:00,-0.3704680892559092,-0.3148069916507227,-0.3340718510510431,-0.3381111927670216,-0.45052660980294,-0.3818730971917712,-0.3569350924136964,-0.3421228223248871,-0.4026254204852616,-0.4206119501546264,-0.7691043956157309,-0.2630219755213609
2021-01-02 08:00:00,-0.3148069916507227,-0.3340718510510431,-0.3381111927670216,-0.45052660980294,-0.3818730971917712,-0.3569350924136964,-0.3421228223248871,-0.4026254204852616,-0.4206119501546264,-0.7691043956157309,-0.2630219755213609,-0.626446706893992
2021-01-02 09:00:00,-0.3340718510510431,-0.3381111927670216,-0.45052660980294,-0.3818730971917712,-0.3569350924136964,-0.3421228223248871,-0.4026254204852616,-0.4206119501546264,-0.7691043956157309,-0.2630219755213609,-0.626446706893992,-0.5878394471095076
2021-01-02 10:00:00,-0.3381111927670216,-0.45052660980294,-0.3818730971917712,-0.3569350924136964,-0.3421228223248871,-0.4026254204852616,-0.4206119501546264,-0.7691043956157309,-0.2630219755213609,-0.626446706893992,-0.5878394471095076,-0.4317680519558436
2021-01-02 11:00:00,-0.45052660980294,-0.3818730971917712,-0.3569350924136964,-0.3421228223248871,-0.4026254204852616,-0.4206119501546264,-0.7691043956157309,-0.2630219755213609,-0.626446706893992,-0.5878394471095076,-0.4317680519558436,-0.4316605675983822
2021-01-02 12:00:00,-0.3818730971917712,-0.3569350924136964,-0.3421228223248871,-0.4026254204852616,-0.4206119501546264,-0.7691043956157309,-0.2630219755213609,-0.626446706893992,-0.5878394471095076,-0.4317680519558436,-0.4316605675983822,-0.5426543430511671
2021-01-02 13:00:00,-0.3569350924136964,-0.3421228223248871,-0.4026254204852616,-0.4206119501546264,-0.7691043956157309,-0.2630219755213609,-0.626446706893992,-0.5878394471095076,-0.4317680519558436,-0.4316605675983822,-0.5426543430511671,-0.3779723739543627
2021-01-02 14:00:00,-0.3421228223248871,-0.4026254204852616,-0.4206119501546264,-0.7691043956157309,-0.2630219755213609,-0.626446706893992,-0.5878394471095076,-0.4317680519558436,-0.4316605675983822,-0.5426543430511671,-0.3779723739543627,-0.3064337269932024
