,electricity
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.06033791864391675
8,0.29639400010123285
9,0.33314775076064895
10,0.377799443525393
11,0.8573409323551244
12,0.7308470612211376
13,0.13317206142925125
14,0.10995909439359813
15,0.03133393781104891
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.08053025531409104
33,0.5788156472501739
34,0.8064311078561449
35,0.8957534995057775
36,0.8291094717669637
37,0.7506152969514605
38,0.4486490355652302
39,0.2102017748769448
40,0.009164246461864742
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.004329760464649047
56,0.04914692583183739
57,0.04962053766632774
58,0.09992232622108523
59,0.05093091484682517
60,0.1208283858044051
61,0.16717907565317738
62,0.07259796761781485
63,0.023151124630451395
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.035546617894932776
80,0.2594799627504443
81,0.46864245936979887
82,0.6488722737313257
83,0.6241640528527928
84,0.7924168451458001
85,0.6871184679334362
86,0.4198318085859876
87,0.2535699596743819
88,0.007650160779738956
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.05270903032236429
104,0.32275719599867303
105,0.6605697094250381
106,0.6107990254993975
107,0.8628973001879653
108,0.7408960336267492
109,0.6924716438046693
110,0.4060628462659438
111,0.22195022132601802
112,0.003958490983135171
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.07891902980193412
128,0.4603437543911423
129,0.5272247422223987
130,0.7879429621997484
131,0.8813758342091939
132,0.9378879516823153
133,0.6615727534453018
134,0.6188592465699552
135,0.25334676241571674
136,0.009258092776869708
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.06440602909120323
152,0.39093038225157484
153,0.5217960086694441
154,0.7542313210620565
155,0.6945043720548051
156,0.9059445480935575
157,0.7092689148468649
158,0.5396016560470424
159,0.340248557758041
160,0.013633771185599702
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.05646536862350756
176,0.2146642475778317
177,0.5753328156177926
178,0.8654338142556667
179,0.915847798483267
180,0.7552835957655774
181,0.6249934928893353
182,0.5943331119425392
183,0.2654333803728197
184,0.010713941764816267
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.09509769829104546
200,0.4834374304716733
201,0.7203946852332688
202,0.7232158351394111
203,0.775286663227625
204,0.4801677312570412
205,0.4350703227470295
206,0.20851334599488855
207,0.08453545085804648
208,0.0009905526992268158
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.08167829876334282
224,0.38758280903705006
225,0.605051582058485
226,0.8621674979371856
227,0.7782490820517233
228,0.8190772981882287
229,0.7690079016753478
230,0.48071897379822265
231,0.1278212694856203
232,0.00702658658679831
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.023401913694992657
248,0.08631366386506172
249,0.08665769943949149
250,0.12951130677228173
251,0.1353536429770399
252,0.13131431331083296
253,0.06777041042519429
254,0.05594657784908443
255,0.014115894773934047
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.05404723472594795
272,0.32907488669645113
273,0.5348867659844664
274,0.7786066572160816
275,0.8023393108178541
276,0.7136137595710513
277,0.7370808594705491
278,0.49144928637020063
279,0.31570486875353615
280,0.01500677840999754
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.06297345262500073
296,0.3772276125548525
297,0.6350787465144854
298,0.7404572845949807
299,0.737536883299541
300,0.5851441329847215
301,0.26465929826733603
302,0.24590338214081525
303,0.11292248888675285
304,0.002551209026951977
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.007665214257234366
320,0.06048784024930403
321,0.16386088043720845
322,0.27322253859410695
323,0.2678906052551376
324,0.1731474394077705
325,0.12888032765478125
326,0.10743987807658105
327,0.05354733302228733
328,0.008170259311817064
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.011475272812617605
344,0.0626028031572723
345,0.13324910914708923
346,0.25974631965098327
347,0.31881965574974075
348,0.1953487877723832
349,0.12827612399651495
350,0.08565694087865537
351,0.0426526252514361
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.003576695809330216
368,0.12205923392965524
369,0.3902172929133614
370,0.7163873516250266
371,0.6511687270667974
372,0.49974896238660654
373,0.38298086251213553
374,0.22503523082028473
375,0.07771977422622055
376,0.0021726126954376202
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.1216092800163937
392,0.4557363605859222
393,0.6336269574405863
394,0.6218135185895066
395,0.8794880259226854
396,0.7906938702520185
397,0.558535461196818
398,0.44466655407064976
399,0.26092938832414814
400,0.01916841900868639
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0882099773628791
416,0.3989576411818146
417,0.4743992087729702
418,0.7737994695320681
419,0.8670867912596241
420,0.7512150818396123
421,0.6673405527759356
422,0.4601496155079658
423,0.17258780367516502
424,0.0067755279609973875
425,0.0
426,0.0
