,sink_m1,sink_m4,sink_m7,sink_m8,sink_m10,sink_m11,sink_m13,sink_m14,sink_m16,sink_m17,sink_m20,sink_m21,sink_m23,sink_m24,sink_m26,sink_m27,sink_m29,sink_m30,sink_m31,sink_m32
2019-01-01 10:00:00,-0.3871935769594589,-0.6288717959132668,-0.2992592417739449,-0.4198068111876779,-0.32324092600384885,-0.5021145718911469,-0.33844277517841737,-0.629735329833677,-0.2692216853425348,-0.4617082116830379,-0.4911046605610444,-0.6354046413658102,-0.30501156891709674,-0.574267308918576,-0.5351027660077408,-0.6157316775996063,-0.42194872244170706,-0.8454552103062499,-0.3873851731713007,-0.46362949008734927
2019-01-01 11:00:00,-0.35757601355313323,-0.5959555576160267,-0.27620897129459276,-0.3821407607278531,-0.2743839735449892,-0.41907051181396343,-0.2912601071670353,-0.4615480789368282,-0.22359275521956293,-0.28534865987054825,-0.2880880406934884,-0.4828067247954628,-0.17029887227119114,-0.4212124491673024,-0.3691221647900043,-0.3613164220499413,-0.2537963151782041,-0.41758550757862906,-0.18603494255582437,-0.3573982668497719
2019-01-01 12:00:00,-0.3726112630108017,-0.5718190081677962,-0.28130004022877514,-0.5614362873044969,-0.3396013453458322,-0.3657371311845577,-0.49697264342333597,-0.4757329120858567,-0.17851101710302686,-0.6479004824644952,-0.38154960218120204,-0.3957748289392633,-0.40999584936955114,-0.5443874398224009,-0.40558081147355635,-0.6093964654608428,-0.3559429899319546,-0.65685561012744,-0.2834188801677051,-0.5122091344781126
2019-01-01 13:00:00,-0.35290304476504086,-0.5964264405819769,-0.2704673495053165,-0.5013866336499434,-0.3732748950958683,-0.4039680645781623,-0.44833765414083154,-0.709775582271647,-0.25141543151048895,-0.4734790262674683,-0.6191614310607866,-0.5094324306766052,-0.28294330528866407,-0.9941186960087915,-0.4396162508545401,-0.5064334429866526,-0.772116085868371,-0.5149377698402892,-0.2876989831789407,-0.9035426472873047
2019-01-01 14:00:00,-0.35462640914079124,-0.5755101230299235,-0.2651594296194362,-0.44603170948276055,-0.25419541117738503,-0.3798826495709456,-0.4048020225967779,-0.40502380116796405,-0.16544711877268128,-0.47711251826686846,-0.3136870201718906,-0.3758192817398202,-0.3081259487690714,-0.47191927225806524,-0.3772405046929775,-0.6153161278678627,-0.3028446245072379,-0.6345964086406323,-0.40035525247839765,-0.31258474349237947
2019-01-01 15:00:00,-0.33985629266400735,-0.5678848569361462,-0.26203480454269695,-0.4394431386207703,-0.322363381682097,-0.3231751237508551,-0.35786925862198177,-0.5161975909453873,-0.18538057680377545,-0.49479363843816543,-0.39467899328428024,-0.29785106734186945,-0.3115159332398733,-0.5452210214505905,-0.28151183441039046,-0.5733460366888763,-0.37506847839258434,-0.3384829729309638,-0.3586131050081696,-0.4458315609446296
2019-01-01 16:00:00,-0.3464956643936612,-0.5729126718306488,-0.2676630724254039,-0.4029913788511047,-0.3413510715291711,-0.41319549886227913,-0.31286683724890846,-0.657444717148568,-0.24105462352910548,-0.4122905438281389,-0.4999614600840016,-0.49337989587507114,-0.21130947904129493,-0.6847797935387693,-0.4722391910000281,-0.4240214917216699,-0.498865140374929,-0.6676044135744376,-0.2417968756346132,-0.6559446315186398
2019-01-01 17:00:00,-0.3645357543013559,-0.6225376605325796,-0.29384289641221556,-0.39305789240794115,-0.3936478571192797,-0.3949300558600292,-0.3159079603663113,-0.7438111599166166,-0.20122096105453996,-0.41222870107988446,-0.4925016310284106,-0.4225366595724328,-0.21914891418405893,-0.6040349869992785,-0.373909946627884,-0.43519540722828126,-0.3390227691286804,-0.4697204172073042,-0.25041155233056395,-0.4407147066751726
2019-01-01 18:00:00,-0.39955540219320707,-0.6966181839177394,-0.33131868361020445,-0.45975599501043857,-0.29759904822451205,-0.49003574089160706,-0.3312185207144377,-0.46087056948175487,-0.27467038563668794,-0.4316826619761154,-0.3703931392071145,-0.5661264367082556,-0.19554490396366045,-0.5175806118364944,-0.46351059881159723,-0.39977081328214376,-0.3012219155248889,-0.5990103164245019,-0.23198912376399455,-0.2896103972900049
2019-01-01 19:00:00,-0.4035986801516982,-0.7043497784231828,-0.3264346087662793,-0.6225540694965949,-0.40743988844607576,-0.45663301648843685,-0.45732098680393046,-0.5784337460098457,-0.23848286045237072,-0.6426827170751196,-0.4661773496337319,-0.406558564543447,-0.38939555848821505,-0.6161522612696797,-0.378601876192074,-0.677370095192956,-0.4308775798815361,-0.5745459476541577,-0.3436172103004647,-0.4214243962476211
2019-01-01 20:00:00,-0.41861183519429307,-0.7181876617128853,-0.33887396790459107,-0.5482794547984674,-0.3428640863167641,-0.486936651230288,-0.42735299198978005,-0.6280829608137192,-0.274600373520617,-0.5095037265048157,-0.40817394088803566,-0.620222842445001,-0.3185079621202494,-0.6343757295660052,-0.5571574252320179,-0.5632718040540319,-0.5160317274361268,-0.7602236999043414,-0.29790411230048386,-0.604695218735524
2019-01-01 21:00:00,-0.41917524277867296,-0.7285470869637936,-0.3345418773013519,-0.6202140105027562,-0.4265454541292971,-0.581602002793982,-0.5587086321442177,-0.7055447242502139,-0.29107787550483705,-0.7120753833709698,-0.44025783796864204,-0.4836980385829501,-0.3892594638851514,-0.4910612742031285,-0.44031496372241546,-0.7065492484938143,-0.33666905893295296,-0.6210141143150546,-0.33398464209989515,-0.43494301985885425
2019-01-01 22:00:00,-0.4120939827475448,-0.726997730108086,-0.3307814846616799,-0.4593507882336453,-0.31630467450435806,-0.5352250113026612,-0.3560358797951083,-0.5314171401058114,-0.27727717125473805,-0.39082424201466587,-0.46945925244176184,-0.5608859973020712,-0.22604207871577217,-0.683703562070032,-0.5207418707949459,-0.3484047441643765,-0.3967524254456777,-0.7832435958994075,-0.1974756367024511,-0.39921438891740574
2019-01-01 23:00:00,-0.4063825764509874,-0.7306736551971179,-0.3203282831036927,-0.4418327295835659,-0.44630981858067537,-0.5268505584233524,-0.3998490668613606,-0.7030222564395232,-0.2669791859495502,-0.4911063155902644,-0.5023116925086771,-0.42896812568310244,-0.23937715529408193,-0.7855404018951396,-0.3240332908059336,-0.42765344021979146,-0.5748921654144797,-0.43060358749948896,-0.22219702907399813,-0.6473424690543687
2019-01-02 00:00:00,-0.40509005316917457,-0.7120509933824355,-0.3138326114141939,-0.5777964548663171,-0.3338136572542203,-0.4527990990900088,-0.4078264039685894,-0.5291517602750382,-0.1979947232812,-0.5496551130457071,-0.4370655154058055,-0.3798128392794352,-0.3534208501746837,-0.4930673185906046,-0.284325377769347,-0.7395169627849991,-0.34805811132927994,-0.42740076080308886,-0.4487932210047462,-0.44102686729609386
2019-01-02 01:00:00,-0.41398305523634815,-0.7228205425069133,-0.3248230119207056,-0.6353213757472799,-0.4090335656112863,-0.4149977188477974,-0.4207505538586445,-0.596641247964918,-0.24637179109173976,-0.4314760927043703,-0.5384015924934069,-0.5906918058903189,-0.27683578029663153,-0.6053967315949423,-0.5283248100316466,-0.5190543463135041,-0.42397384322342097,-0.6635811636677,-0.24831040032966029,-0.5390524375880904
2019-01-02 02:00:00,-0.4254058678294629,-0.7189623401407392,-0.3261044039080118,-0.5746389496047963,-0.31206360215324597,-0.44241851382310526,-0.3678449815245181,-0.41627471659250675,-0.23492822087382065,-0.4590124144001318,-0.35384780798543397,-0.40399395850845343,-0.21086178360046678,-0.43594877221174133,-0.30981165920370285,-0.36937287227322696,-0.24460119255657078,-0.47332090718816205,-0.22460797366869129,-0.2661621947429196
2019-01-02 03:00:00,-0.4609005456453989,-0.7015852397198612,-0.3493320978932987,-0.6576327188855966,-0.41464244264902467,-0.4164353211952132,-0.5436236840673533,-0.6077154041714283,-0.17787380819692805,-0.5914405592795198,-0.5203077337129468,-0.3998869132711649,-0.372397349535077,-0.7943252871717872,-0.29331382692353564,-0.6506818703957431,-0.5331556344350624,-0.46897431400688394,-0.3081771539088888,-0.742719560941717
2019-01-02 04:00:00,-0.4723344054460505,-0.7408659929439791,-0.3625156500703924,-0.5183657172122327,-0.4455852895637554,-0.5096231900378597,-0.4201228584272804,-0.6998964978414386,-0.29807953269527754,-0.5352370796353265,-0.6329329334039381,-0.6739444099123391,-0.33020499246015717,-0.6971860657401816,-0.6539750831560405,-0.623026104431371,-0.4076907670375854,-1.0459886914297096,-0.32896830396200116,-0.5354409921550095
2019-01-02 05:00:00,-0.4908163836552198,-0.7717923709657517,-0.3680354924772502,-0.6372304076189942,-0.4474281815187487,-0.5310867961796629,-0.4995114058939131,-0.5873005047008977,-0.23731407810310595,-0.4992822858316964,-0.444021150937555,-0.5167801304472073,-0.3281441510734479,-0.6083693344801264,-0.4532019932753969,-0.6192470121368553,-0.4753930441226933,-0.5798687774101866,-0.3102886109958724,-0.5889672906811884
2019-01-02 06:00:00,-0.491600735390337,-0.8049972149518005,-0.3777790000114985,-0.5775912033137296,-0.48870232217190923,-0.633735360644495,-0.35834790725644816,-0.6629372167778086,-0.3776577131794322,-0.44503696716724495,-0.5353573058087729,-0.7257893646927506,-0.2106758028313624,-0.6970428408199607,-0.5079845580832552,-0.3357570429309662,-0.5610923948255941,-0.8415915653642135,-0.20383232936966778,-0.7982736715075955
2019-01-02 07:00:00,-0.466147969225408,-0.8222072278686317,-0.3885279074127102,-0.6471089196494119,-0.4220917548350502,-0.6634148850272776,-0.40745717143759635,-0.5822908257226861,-0.4059762634561141,-0.43363037392910975,-0.40571243297122783,-0.9325875519945102,-0.20541643089451184,-0.5432401159908297,-0.7260499368891595,-0.4079738536477836,-0.38612457027531083,-0.9698803779953202,-0.24077620291897125,-0.4765283205907458
2019-01-02 08:00:00,-0.4225888299075632,-0.7422938316149253,-0.33724758576685626,-0.49911804146055144,-0.43612946798893726,-0.46465003992360415,-0.3140431696111887,-0.7507531863307425,-0.20007836324019682,-0.39929131270281,-0.4608566025188528,-0.3479743544234203,-0.2524429667607906,-0.5955284517806927,-0.33274679120679157,-0.4211146235350031,-0.41562260639687965,-0.5008717179025508,-0.20936302137890403,-0.4348701580745669
2019-01-02 09:00:00,-0.41337545882182075,-0.7263141903188033,-0.3242562423878585,-0.5724143505651722,-0.3539668551307015,-0.49890272835987,-0.4918592403655156,-0.6583781569504568,-0.271609446127816,-0.6518100903345029,-0.5623686604735599,-0.5825610184192946,-0.3289858287114283,-0.7905473830665423,-0.5542065369677116,-0.6444493874362442,-0.572660472973886,-0.8431402998885874,-0.32631260998907485,-0.7981099216889812
