,sink_m1,sink_m4,sink_m7,sink_m8,sink_m10,sink_m11,sink_m13,sink_m14,sink_m16,sink_m17,sink_m20,sink_m21,sink_m23,sink_m24,sink_m26,sink_m27,sink_m29,sink_m30,sink_m31,sink_m32
2019-01-01 11:00:00,-0.35757601355313323,-0.39393672452584805,-0.2762089712945928,-0.23538083333242146,-0.33744306764854864,-0.23527361842284875,-0.2642733024311333,-0.38440205881731787,-0.20967220235880205,-0.15401250565889732,-0.4566274912619269,-0.27359222880985956,-0.16102113662710366,-0.4411900129188511,-0.46811205775186887,-0.17338358666459736,-0.42355984649842,-0.46082155751174697,-0.13846026686468582,-0.26476389808365985
2019-01-01 12:00:00,-0.3726112630108017,-0.3779820562465093,-0.28130004022877514,-0.28545461623628327,-0.2837342870802221,-0.20537535399224763,-0.386431182760889,-0.24071480277352986,-0.1913959877578794,-0.29872915982629694,-0.2676397903286335,-0.2404592871023661,-0.2848424573187059,-0.22511827798749603,-0.3735361205142656,-0.3078938524158697,-0.2690993879550041,-0.3862079155800222,-0.29991539571223896,-0.15287524408783262
2019-01-01 13:00:00,-0.35290304476504086,-0.3942479861474084,-0.2704673495053165,-0.2728557879565149,-0.25480680569241115,-0.17846590464941708,-0.28647405400542814,-0.2220594489105072,-0.15813748191074864,-0.18335371496645186,-0.2263180732869774,-0.16423332430062587,-0.1598455107361608,-0.2288886499936596,-0.2965379890370994,-0.1770353762811189,-0.2981068957251687,-0.26514467054088225,-0.14620903564010782,-0.17684653827457314
2019-01-01 14:00:00,-0.3546264091407913,-0.38042194573164423,-0.2651594296194362,-0.2359683256217511,-0.3210678633206605,-0.19760862521401606,-0.33496689235600335,-0.33683791204093,-0.19459947105506437,-0.23187355929908587,-0.3656613332358459,-0.18157712734812406,-0.24793932671162644,-0.3001279782098677,-0.3071212376354586,-0.21770607484138244,-0.3536744548831517,-0.30356573554527044,-0.2579691796729873,-0.20968583421738923
2019-01-01 15:00:00,-0.33985629266400735,-0.3753815156018595,-0.262034804542697,-0.3024276578010362,-0.3522130171198901,-0.17098916800498384,-0.45911199733949537,-0.3025386895098939,-0.1769973047591919,-0.3052068374307734,-0.40421503097262207,-0.16894288616003023,-0.25960156731562184,-0.33196047191865785,-0.22453090193866965,-0.26547111005245255,-0.41310168727013774,-0.16741334297908744,-0.22350742541796795,-0.2344418087090409
2019-01-01 16:00:00,-0.34649566439366114,-0.3787049864643271,-0.2676630724254039,-0.24110453142418872,-0.2433858574323716,-0.23475102447404206,-0.29601902402970937,-0.2736340519992279,-0.2765969513838391,-0.22650278103731483,-0.33590102182595755,-0.26919229172997877,-0.2660740152572643,-0.3237389343700113,-0.45500380958967546,-0.306285063700308,-0.32208570205119386,-0.34763263804047384,-0.2530932992093535,-0.219926162250729
2019-01-01 17:00:00,-0.3645357543013559,-0.4115079450978068,-0.29384289641221556,-0.2961491312517391,-0.3801556667664944,-0.26398887462645965,-0.4370236406534099,-0.32770292284170416,-0.2581530633583593,-0.3345674174870598,-0.3435877433367214,-0.2303575505999377,-0.3520013113043456,-0.34841101466806207,-0.4095280382592767,-0.41912611782488407,-0.35037717377545163,-0.3046363754277125,-0.4436522324876233,-0.27739261368953283
2019-01-01 18:00:00,-0.39955540219320695,-0.46047642665748867,-0.33131868361020445,-0.29841186354048205,-0.3706821413628289,-0.267162921847309,-0.4471551073645655,-0.380884256868625,-0.3193714227101793,-0.2940740558525516,-0.4887195106980522,-0.403212325155024,-0.2593057489054294,-0.36457897718348126,-0.5948252651245203,-0.25251942598478955,-0.4510141539370625,-0.4322519354907959,-0.22766653191490505,-0.24475752542551354
2019-01-01 19:00:00,-0.4035986801516982,-0.46558714166956144,-0.3264346087662793,-0.3178715467216272,-0.3701211062918379,-0.21279433818943494,-0.3639272076512962,-0.42457111939770376,-0.17956430784970517,-0.2802855859726999,-0.4754097065370404,-0.20455294173855387,-0.31079717309994326,-0.3254972414991728,-0.3080172323584154,-0.29529685369087383,-0.37134473456794065,-0.24328012298766793,-0.34457252261090077,-0.19751400068690547
2019-01-01 20:00:00,-0.4186118351942932,-0.4747342170644496,-0.3388739679045912,-0.30870671320243476,-0.4123557739292854,-0.25406111216167243,-0.3621434631490386,-0.47457496029303187,-0.3009350816649995,-0.26584265717879263,-0.6164441531390223,-0.3924470687194106,-0.3149042127958428,-0.5828412679575183,-0.6539424791646433,-0.3397375165616756,-0.5691769967653978,-0.5971083828133162,-0.3018090858897319,-0.3904398247000132
2019-01-01 21:00:00,-0.41917524277867296,-0.4815819727387788,-0.3345418773013519,-0.35943676653698003,-0.3453141799785067,-0.23308558992473707,-0.47451831879756773,-0.3799029544851243,-0.24711717425414018,-0.29398253372823774,-0.41831792939486834,-0.2387253784604379,-0.27719382555469096,-0.31064973920526373,-0.3814795065511149,-0.2605926462937593,-0.3774912274242501,-0.40324442029813173,-0.24438877862059563,-0.23050239759872548
2019-01-01 22:00:00,-0.4120939827475448,-0.4805578215968704,-0.33078148466167984,-0.34818252064863675,-0.46081472493498,-0.26582668161855516,-0.3717924509549383,-0.5326984754508415,-0.23944839317590702,-0.19981574210698272,-0.5726538999597217,-0.2999071338052807,-0.22232454204808605,-0.5143492114144929,-0.4488786009968353,-0.2011447990268823,-0.6704767600843877,-0.38089189505691823,-0.18867564366614417,-0.3692533807546129
2019-01-01 23:00:00,-0.4063825764509874,-0.4829876703845354,-0.3203282831036927,-0.3337784765288298,-0.34065899694006957,-0.2022493526429474,-0.3835029361883368,-0.3258702675328758,-0.2406933763527807,-0.2292187394593845,-0.37143165851612886,-0.21474908238821652,-0.18426824679649867,-0.28052294200763334,-0.29177085581979506,-0.21154333476796564,-0.2919622168782124,-0.252909246942945,-0.22915115292265967,-0.21276036454817904
2019-01-02 00:00:00,-0.4050900531691746,-0.47067777528669474,-0.31383261141419383,-0.3557252296587652,-0.3326058600148627,-0.2131029429386518,-0.4547312019469592,-0.26449045465740123,-0.19094882542507835,-0.3268741612065693,-0.3456155988570929,-0.19922453094765943,-0.29374771594505783,-0.26935136304576984,-0.2843032042784648,-0.31112590062526935,-0.31981302667741557,-0.22181803944073258,-0.2929098056523237,-0.21328238626149332
2019-01-02 01:00:00,-0.4139830552363481,-0.47779662979270543,-0.3248230119207055,-0.29620647617101986,-0.3443504565554048,-0.22626406650804545,-0.3923888595850086,-0.30070672012239275,-0.2531387703784403,-0.291995323674947,-0.4058773190618149,-0.2253065628151639,-0.30290238088869276,-0.31023403388051823,-0.3647155433512577,-0.27315905102514193,-0.3176469409465303,-0.37900178253467726,-0.25629495656477347,-0.2511494282818128
2019-01-02 02:00:00,-0.4254058678294629,-0.47524629263540386,-0.3261044039080118,-0.3071130565652781,-0.33723918978627593,-0.2340044087055158,-0.44203719204692754,-0.3873614179801803,-0.27059335901479226,-0.28539198120991016,-0.5553886969427109,-0.32410516037562065,-0.26834352558863367,-0.5478774597590278,-0.5327184548536983,-0.2426895133778537,-0.5459401288271886,-0.5379454198440227,-0.27781616916848895,-0.32987850102198446
2019-01-02 03:00:00,-0.4609005456453989,-0.46375973473007764,-0.3493320978932987,-0.39193775090724936,-0.369795143416443,-0.2716742947840391,-0.59375346537829,-0.4279029254470071,-0.25898091283538577,-0.34905466261577117,-0.6259589534573399,-0.24440365928857846,-0.3391656540713624,-0.4479306169113706,-0.30520944615623935,-0.38060340000206305,-0.49417490281955684,-0.24198084372889256,-0.441648444999717,-0.3234159539449189
2019-01-02 04:00:00,-0.4723344054460505,-0.489724978386698,-0.3625156500703924,-0.41729440218616703,-0.3972759735567897,-0.2934363911204392,-0.568656640609256,-0.3985459139232081,-0.25551388321102303,-0.3865928921643114,-0.4214399427038739,-0.23597976068112012,-0.3551799732627078,-0.3808480806947348,-0.42016615785356887,-0.3556467000592672,-0.40445288012606007,-0.3333245330248522,-0.3728097653305485,-0.2730043423531852
2019-01-02 05:00:00,-0.49081638365521985,-0.5101678384349886,-0.36803549247725026,-0.38664358212550126,-0.478612858082462,-0.29085944193956625,-0.47102348456674153,-0.46045802082355997,-0.29525987748797966,-0.35151436578577455,-0.6747182743717111,-0.3547527149652093,-0.4031570832995148,-0.507617573483852,-0.5533254574222944,-0.47114890570815343,-0.6085517169764678,-0.5207078949573639,-0.4381808069910614,-0.4359771247260605
2019-01-02 06:00:00,-0.49160073539033705,-0.5321168031037325,-0.37777900001149856,-0.3758181530947177,-0.5073233858385561,-0.31431872034632397,-0.4949609736436231,-0.5629781086946678,-0.3297158479519255,-0.3306458341497921,-0.8155048372357498,-0.3519916039205935,-0.3619700606077677,-0.797512696057291,-0.4769511788435189,-0.3675994875121976,-1.013181963844946,-0.3871211676243849,-0.3754729986520733,-0.7776620669577865
2019-01-02 07:00:00,-0.4661479692254081,-0.5434929133368922,-0.3885279074127102,-0.30941070470087667,-0.3505688394674592,-0.28907410634325587,-0.336331461165748,-0.29108652418616127,-0.24657280170452667,-0.2621884679823798,-0.3710078657371179,-0.2798253262268237,-0.2633614036348067,-0.368576758461024,-0.5045439494245808,-0.28376852585306955,-0.47943753128436295,-0.3932017555773261,-0.32121774890545485,-0.3655441112668449
